component_id,component_name,component_kind,lifecycle_status,entity,area,primary_owner_role,steward_ops_domain,secondary_owner_role,escalation_owner_role,repo_slug,github_url,api_exposure,api_spec_pointer,integration_pattern,depends_on_component_ids,parent_component_id,primary_process_item_id,related_process_item_ids,topic_ids,access_level_data,data_classification,environment_scope,slo_tier,runbook_link,doc_link,legal_hold,retention_policy_ref,last_verified_date,source_row,notes
comp_matriz_00076,Microsoft Azure — Microsoft (sheet row 76),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DevOPS
comp_matriz_00077,Microsoft Azure — Microsoft (sheet row 77),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=DevOPS
comp_matriz_00078,Excalidraw — Excalidraw,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 1
comp_matriz_00079,Airtable — Airtable (sheet row 79),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 3
comp_matriz_00080,Google Workspace — Google (sheet row 80),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 3
comp_matriz_00081,PowerPlatform — Microsoft (sheet row 81),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 3
comp_matriz_00082,Figma — Figma,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Output 1
comp_matriz_00083,<Forcasting Tool> — TBD,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Finance Ops
comp_matriz_00084,<Lead Tool> — TBD,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Lead Management
comp_matriz_00085,Stripe Payments — Stripe,other,active,HLK Tech Lab,Tech,System Owner,FINOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Finance Ops; subcategory=Invoicing
comp_matriz_00086,GoDaddy — GoDaddy,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Domain
comp_matriz_00087,CloudFlare — CloudFlare,infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Domain
comp_matriz_00088,CloudFlare — CloudFlare (sheet row 88),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Storage
comp_matriz_00089,CloudFlare — CloudFlare (sheet row 89),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase
comp_matriz_00090,CloudFlare — CloudFlare (sheet row 90),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Domain
comp_matriz_00091,Bank Account — Bank Account,other,active,HLK Tech Lab,Tech,System Owner,FINOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Finance Ops; subcategory=Bank Account
comp_matriz_00092,Google Cloud Console — Google (sheet row 92),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Network
comp_matriz_00093,Google Cloud Console — Google (sheet row 93),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=Network
comp_matriz_00094,ElevenLabs — ElevenLabs,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=AI; subcategory=TTS/SST LLM
comp_matriz_00095,PerplexityAI — PerplexityAI,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=AI; subcategory=Research Tools
comp_matriz_00096,YouTube — Google,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Research Tools
comp_matriz_00097,NotebookLM — Google,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Office Automation; subcategory=Research Tools
comp_matriz_00098,Tuta — Tuta,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Security; subcategory=VPN
